review_id,review_text,original_text,rating,bank_name,sentiment_label,sentiment_score,date
cb37b096-e071-4f0f-a8fd-067b7d71706d,cbe,CBE ይለያል።,5,CBE,POSITIVE,0.3322,2025-11-29
70f504ff-daed-40d9-9c89-cc49a95ef659,its special for me,it's special for me,5,CBE,POSITIVE,0.5862,2025-11-29
28f229b5-0026-41b9-a1eb-b76e74736f63,make it user friendly,Make it user friendly.,2,CBE,POSITIVE,0.62,2025-11-28
68d8daea-db47-4e23-a692-755173dea983,maaliif daddafee install gaafata,maaliif daddafee install gaafata,3,CBE,NEGATIVE,-0.3292,2025-11-28
ee0dbb0e-4eb0-47b5-9874-c37877493f99,good app,good app,5,CBE,POSITIVE,0.7134,2025-11-28
5112423d-e618-44ba-ba49-62677cb76cd6,this application is very important and advantage for transfer of money and finance in the coutry and foriegn country,This application is very important and advantage for transfer of money and finance in the coutry and foriegn country.,5,CBE,POSITIVE,0.6795,2025-11-27
bcb34681-1dd4-4781-b400-4393bb10b1d9,why didnt work this app,why didn't work this app?,1,CBE,NEGATIVE,-0.3331,2025-11-27
c69f051a-00f8-4144-8423-b7ebcd328d2d,the app makes our life easier thank you cbe,The app makes our life easier. Thank you CBE!,5,CBE,POSITIVE,0.5492,2025-11-27
d2995fb9-63c6-4bfc-8d3c-93a0ee9dba8f,this app very bad,this app very bad 👎,1,CBE,NEGATIVE,-0.8316,2025-11-27
f8002d06-b5c5-4ed1-9d51-a9a379304cf8,the most advanced app but how to stay safe,the most advanced app. but how to stay safe?,5,CBE,NEUTRAL,0.0807,2025-11-26
81000db5-aa51-467e-826c-fc96160e96a8,good application,Good application,4,CBE,POSITIVE,0.7134,2025-11-26
3d88a334-958c-4717-9f97-c5d46359e054,it is nice app,It is nice app,5,CBE,POSITIVE,0.6738,2025-11-26
99d376ea-4824-4af9-a093-27360acc3a5c,best,best,5,CBE,POSITIVE,0.8789,2025-11-25
f1861daf-a1ed-407a-9e7c-295edbb3877d,good app,good app,5,CBE,POSITIVE,0.7134,2025-11-25
fd178fb7-7026-4d02-98a0-5c86c3bd56f5,it suddenly asked me to enter the verification key i received and it get your verification key from the nearest cbe branch now im in australia what do you expect me to do there is no nearest or furthermost cbe branch so frustrating how can i manage my bank account now,"it suddenly asked me to enter the verification key I received. and it (*get your verification key from the nearest CBE Branch*) Now I'm in Australia, what do you expect me to do???! There is no nearest or furthermost cbe Branch!! SO FRUSTRATING! How can I manage my bank account now????",1,CBE,NEGATIVE,-0.6042,2025-11-25
571c66c6-fd18-437b-b8e5-8c443e9db2df,nice app,nice app...,5,CBE,POSITIVE,0.6738,2025-11-24
7b5b3f8c-a0f4-4a15-973a-ff5971ad15fb,very good banking service and fast service,very good banking service and fast service,5,CBE,POSITIVE,0.6825,2025-11-24
3a75b79a-002f-4fc2-b6f0-dd8d187e8663,thanks blc this app help me to use all time,thanks blc this app help me to use all time,5,CBE,POSITIVE,0.626,2025-11-24
6518498e-441c-407d-b546-35a12a98645a,good,good,5,CBE,POSITIVE,0.7134,2025-11-24
f2f0cff2-6181-4a3a-926f-5b3491ca4cf8,why we cant send money to other people telebirr wallets,why we can't send money to other people telebirr wallets??,1,CBE,NEGATIVE,-0.3742,2025-11-23
00b0b11a-7698-4ce2-8d6e-e6166ee2a39b,birr,አታፍሩም ግን ለ15 birr 11.50 ብር ስትቆርጡ ይስተካከልልን,1,CBE,NEGATIVE,-0.2357,2025-11-23
ad22eeae-dc82-4954-983c-472a262ddc6a,,በጣም ቀላልና ምቹ ነው።,5,CBE,NEUTRAL,0.5,2025-11-23
ad9f4094-ff79-4353-a8b0-d00cfba75ed5,wow,wow,5,CBE,POSITIVE,0.5618,2025-11-23
07a6da77-35b8-4ea4-8138-90770842ff0e,good,good,5,CBE,POSITIVE,0.7134,2025-11-22
cd144ce6-efeb-41c2-8247-e57a64bb0181,nice,nice,5,CBE,POSITIVE,0.6738,2025-11-22
8d4577a0-0e73-4113-9479-5764db25dcb7,you are the reason why i got ye chogara himem,you are the reason why i got ye chogara himem,1,CBE,NEGATIVE,-0.3273,2025-11-22
f077c10c-a958-4812-a779-1077c52fbf45,it is so smart app i recommend it for everyone,it is so smart app i recommend it for everyone,5,CBE,POSITIVE,0.6439,2025-11-22
efddfaa5-0542-45ef-80ae-8183cf70bdb0,excellent,excellent,5,CBE,POSITIVE,0.8572,2025-11-22
3a277a8e-a6b2-4dac-adb4-8fb592d1c859,good,good,5,CBE,POSITIVE,0.7134,2025-11-21
2c2a42d8-dad4-4935-bc1b-e5960c9a6e33,,ዳጊ,5,CBE,NEUTRAL,0.5,2025-11-21
83111490-271d-4491-9b82-8d8ddf3afb26,absolutely right,absolutely right,5,CBE,POSITIVE,0.4285,2025-11-21
f2bad133-c6ea-4fd5-bc97-1e3fbba1c2c9,good app,good app,5,CBE,POSITIVE,0.7134,2025-11-21
6e1b6127-57b8-44a9-ab08-cdf7e0782c7d,mid application its so annoying,mid application it's so annoying,3,CBE,NEGATIVE,-0.6469,2025-11-20
d4184dff-ee60-4895-846f-13872d75735a,i used morethan one year,I used morethan one year,4,CBE,NEGATIVE,-0.3267,2025-11-20
807ff291-9236-45ca-8c37-3028ef08f388,no word can explane about this app it is nice,no word can explane about this app it is nice 👍👍👍👍👍,5,CBE,NEUTRAL,0.05,2025-11-20
afc51143-03ed-4129-b47b-fd1eaad21b07,its great appi love this app,"It's great app,I love this app",5,CBE,POSITIVE,0.8339,2025-11-20
ad11fbc9-52cc-48f3-adc4-d348a5194089,nice,Nice,5,CBE,POSITIVE,0.6738,2025-11-19
942e6ee2-44c6-45f8-b978-01e9b62d001f,suckkkks,suckkkks,1,CBE,NEGATIVE,-0.3246,2025-11-19
9b9850c0-7914-49c8-a51c-7265775accfe,not allowing to transfer and showing current statement updates,not allowing to transfer and showing current statement updates.,1,CBE,NEGATIVE,-0.333,2025-11-19
9094dfc5-ed8d-4ab9-8605-0f5681a5ee8e,i love you this app,I love you this app,5,CBE,POSITIVE,0.7123,2025-11-18
3c30aa12-7f92-49c8-8986-69ed8b81f79f,fast and convenient app thanks for your dedication as a bank to provide good options to your cuatomers,"fast and convenient app, thanks for your dedication as a bank to provide good options to your cuatomers.",1,CBE,POSITIVE,0.6887,2025-11-18
48d2b2a8-40ea-47bc-b524-322d0d7bf7e4,make life easy,make life easy,5,CBE,POSITIVE,0.6244,2025-11-18
b9b4ccbb-9d0b-4d61-b7b5-90f5d83b3838,securr,securr,5,CBE,NEGATIVE,-0.3297,2025-11-18
b81fb6db-71c3-4009-9324-fe187120823c,my most optional bank,My most optional bank,5,CBE,POSITIVE,0.4185,2025-11-17
370d336c-0c66-4ea8-a043-d044d4560101,star,5 star,5,CBE,POSITIVE,0.3332,2025-11-16
9b4043ef-a80d-4e57-bbad-1b2784dc4c45,it is fantastic app,it is fantastic app.,5,CBE,POSITIVE,0.6524,2025-11-16
c384e116-009b-4ff7-85fc-5d0f10f68cda,excellent,excellent,5,CBE,POSITIVE,0.8572,2025-11-16
3f06e0e7-cb06-42f1-b61c-2bd59d7713af,sifen,sifen,5,CBE,NEGATIVE,-0.2825,2025-11-15
4f5a3389-5bda-4229-a5d3-4b749fc05764,i like this,i like this√,4,CBE,POSITIVE,0.4537,2025-11-15
58bd2807-7583-4142-bd14-75e98e1dcda3,ok,Ok,3,CBE,NEUTRAL,0.5,2025-11-15
7a9182e8-718b-4529-a7f3-aadaf46f1493,app update cache cleaning app login restricted,ጥሩ App ነዉ ። የኔ የግል አስተያየት- Update ወይንም cache cleaning app ሲደረግ ለምንድነዉ ደግመን login ስናደርግ Restricted ሚያደርገዉ ቢስተካከል እንደ ሀሳብ ጥሩ ነዉ። በዛላይ ድጋሚ አክቲቬት ለማስደረግ ከፍለን ..,5,CBE,NEGATIVE,-0.4604,2025-11-15
a9d5aab4-636f-4392-8bc6-ccad890de66e,seriously whats going on with this app the pay to beneficiary option is completely disabled for android users yet ios users get full access without restrictions why are android users being treated like second class customers its the same app the same service but clearly not the same experience this kind of platform bias is unacceptable either give everyone the same features or be transparent about why youre limiting functionality right now it just feels unfair and frustrating,"Seriously, what’s going on with this app? The ""Pay to Beneficiary"" option is completely disabled for Android users, yet iOS users get full access without restrictions. Why are Android users being treated like second class customers? It’s the same app, the same service, but clearly not the same experience. This kind of platform bias is unacceptable, either give everyone the same features or be transparent about why you’re limiting functionality. Right now, it just feels unfair and frustrating.",1,CBE,NEGATIVE,-0.6167,2025-11-15
a18b512c-7431-4903-9cc3-1002cf449cff,like,Like,5,CBE,POSITIVE,0.4508,2025-11-13
7bdc58ea-d854-4b9c-9748-642bada48ecd,nice and very useful app i like it,Nice and very useful app i like it!,5,CBE,POSITIVE,0.7707,2025-11-13
dde272da-1847-40d2-98c4-dcb5e19e7eac,good,good,5,CBE,POSITIVE,0.7134,2025-11-12
96f98a42-ec49-4dbf-b37d-216f6770a700,good,Good,5,CBE,POSITIVE,0.7134,2025-11-12
490c7067-5296-4df0-902e-67a6707a1506,good,Good,5,CBE,POSITIVE,0.7134,2025-11-12
1315ef77-540f-4b87-9b6a-7868f1a343e0,smart app,smart app,4,CBE,POSITIVE,0.5387,2025-11-12
82c43412-9579-4b3c-b17e-702aef388e16,good app,good App,5,CBE,POSITIVE,0.7134,2025-11-12
34d6492b-f6e7-42ed-851a-348ab215c36a,sync problem may but the date stack on may help pls,sync problem may 22 2025 but the date stack on may 8 2025 help pls,5,CBE,NEGATIVE,-0.1705,2025-11-12
cd12a5ee-2573-44e9-81ea-de8118bb8fa2,ok,ok,5,CBE,NEUTRAL,0.5,2025-11-11
b4a45bdc-60cc-4355-92f7-9291f8c59ee5,cbe is my choice,cbe is my choice,4,CBE,POSITIVE,0.3329,2025-11-11
f7a289b4-7031-4d28-abb6-8b292f52241e,awesome,Awesome,5,CBE,POSITIVE,0.8749,2025-11-11
60963970-3671-488b-8810-3b3edaddf571,i am not able to transfer the app is not responding,I am not able to transfer. The app is not responding,1,CBE,NEGATIVE,-0.4166,2025-11-11
e9c4773a-03ec-4623-9c97-32370e43cc66,very convenient app,Very convenient App,5,CBE,POSITIVE,0.3982,2025-11-10
8b783bea-df08-43e8-915f-c459fb841a11,excellent but sometimes can not connect,excellent but sometimes can not connect,5,CBE,POSITIVE,0.1153,2025-11-10
5623e102-0f25-4444-96f2-9e4f96e6994b,good app,good app,5,CBE,POSITIVE,0.7134,2025-11-10
8c0c3699-3b4d-4b4c-bf9b-cf6f34d7e617,wow apk,wow apk,5,CBE,POSITIVE,0.5617,2025-11-10
95c51b5c-93b3-40dc-b10d-7ea07b503570,best,best 100 %,5,CBE,POSITIVE,0.8789,2025-11-10
57e7e490-7e00-49b4-85ce-02df5c180255,bad app,bad app,1,CBE,NEGATIVE,-0.7473,2025-11-10
511966b6-2575-4189-b96d-62b0af2bb5ba,best app,best app,5,CBE,POSITIVE,0.8789,2025-11-10
4a33e0ac-be2f-4da7-a573-5b66581b15d9,wow,wow,5,CBE,POSITIVE,0.5618,2025-11-10
6cc81f72-bf2d-4406-bd58-d2b16058b713,nice app,nice app,5,CBE,POSITIVE,0.6738,2025-11-10
19466a41-ca52-4cb0-a343-a6db9296cef7,bad app,bad app,4,CBE,NEGATIVE,-0.7473,2025-11-10
6e59b9f4-f3f4-4481-8cea-cf0e7d58e220,the app constantly glitches and wont stop loading despite having a decent connection and a cleared cache telebirr is way better,the app constantly glitches and won't stop loading despite having a decent connection and a cleared cache. telebirr is way better,1,CBE,NEUTRAL,-0.0449,2025-11-10
ef00529e-94ab-4df9-a7e0-2bee0d213f49,i cant access it properly i think it needs update,I can't access it properly I think it needs update,1,CBE,NEGATIVE,-0.3331,2025-11-10
906a1d95-30d1-47ca-bbe9-8fb33460c535,,👌👌,5,CBE,NEUTRAL,0.5,2025-11-10
e9425647-f1d3-4f35-87e5-e8984ba5cce4,best,best 👌,5,CBE,POSITIVE,0.8789,2025-11-10
8a6f01b8-04dd-4c38-9148-1e46f828cc3d,good,good,4,CBE,POSITIVE,0.7134,2025-11-10
f23eb6ac-a9fb-4df1-95c3-9441fb34d0dd,not refresh,not Refresh,2,CBE,NEGATIVE,-0.333,2025-11-09
22a15e60-01d4-4c7d-8405-fc4daf00de55,your statement is not used as wanted,your statement is not used as wanted,1,CBE,NEGATIVE,-0.333,2025-11-09
3f27b2bb-4631-41e2-acb5-beaab2285532,good very good,good very good,5,CBE,POSITIVE,0.8437,2025-11-09
e83b2d32-a305-4408-9c87-40f05b650185,this is absolute trash why because its not woking most time the servers are down even though im using g data internet they steal not working they use to work with out even data package now its trash cant even send money,this is absolute trash why because it's not Woking most time the servers are down even though I'm using 4g data Internet they steal not working they use to work with out even data package now it's trash can't even send money,1,CBE,NEGATIVE,-0.4374,2025-11-09
a39b1093-9058-4d1e-a200-7347cb946677,good app,good app,5,CBE,POSITIVE,0.7134,2025-11-08
fb2f9d25-5520-48c5-9c21-88e7523bfb61,bayeee galatooma kana caalati nu gammachisa,Bayeee galatooma kana caalati nu gammachisa 🌏🤌🏻💴💸🥰👌🏻🙏🏻,5,CBE,NEGATIVE,-0.3238,2025-11-08
be813f1d-5060-452f-be52-f2b39fceff63,good,Good !,5,CBE,POSITIVE,0.7134,2025-11-08
65e917f9-f327-427f-bc75-a7ec2ec45687,i like it,i like it,5,CBE,POSITIVE,0.4537,2025-11-08
3f4797ed-7cfa-494f-b83d-3ac99d0d8416,very nice app,Very nice app,5,CBE,POSITIVE,0.7518,2025-11-08
e12a96bf-137e-4fcb-9b10-5933a6b8dedd,the app is not functional this week,the app is not functional this week.,4,CBE,NEGATIVE,-0.3332,2025-11-07
a2e6c530-2dc1-4b30-b1f7-3530676a59a3,good,good,5,CBE,POSITIVE,0.7134,2025-11-07
631f58bb-d098-4fe1-8fe5-a3abc2dd6407,very updated bank,very updated bank,5,CBE,POSITIVE,0.3999,2025-11-05
d1284a04-7811-4902-a678-d9d14aece75f,tankyu,tankyu,5,CBE,POSITIVE,0.2801,2025-11-05
3ee7c37d-fd2c-4ddc-892b-98efdc690700,nice,nice,5,CBE,POSITIVE,0.6738,2025-11-05
1851fb0d-c940-4c97-a338-7b1a9a8ef553,numbers and dont write during pin verification,Numbers 2 and 3 don't write during pin verification.,5,CBE,NEGATIVE,-0.3314,2025-11-05
b6fa2156-34bf-44c3-a426-99521f790a04,once it is uninstalled you need to visit a nearby bank you go there and they ask you to have a new sim card which hasnt been used before so you should buy a new sim card and you go back to them with a new sim card when you reach there service provider says authentication pin is not arrive the system is not working come back tomorrow,"once it is uninstalled, you need to visit a nearby bank. you go there and they ask you to have a new sim card which hasn't been used before. so you should buy a new sim card and you go back to them with a new sim card, when you reach there service provider says authentication pin is not arrive, the system is not working come back tomorrow.",1,CBE,NEGATIVE,-0.297,2025-11-05
b5a68eed-026c-4f6f-aba9-9a7490d9466f,loved it,loved it,5,CBE,POSITIVE,0.7664,2025-11-05
468dd43c-8489-4032-8356-b0f924ed9177,ok,Ok,1,CBE,NEUTRAL,0.5,2025-11-05
2446e1d4-37e7-4e7f-b182-bb862c9ac26c,this app is not working on my phone,this app is not working on my phone,5,CBE,NEGATIVE,-0.3332,2025-11-03
398ac276-dd9c-4eb7-8edb-0ce30a96ab22,cbe needs to show transaction fees before the transaction is confirmed and not after this is a big issue as fees are no longer insignificant,CBE needs to show transaction fees before the transaction is confirmed and not after. This is a big issue as fees are no longer insignificant.,3,CBE,NEGATIVE,-0.2741,2025-11-03
ee4d489f-04f2-428c-80bf-e795c79582fe,after the recent updates i am unable to download a receipt i cant see the names of account holders ive previously transacted with very important please fix it asap,"After the recent updates, I am unable to download a receipt. I can't see the names of account holders I've previously transacted with. Very important. Please fix it asap.",1,CBE,NEGATIVE,-0.1558,2025-11-02
ad025898-2642-44d9-81ea-916fde8f4a44,nice,nice,5,CBE,POSITIVE,0.6738,2025-11-02
b2ebcf25-b1be-471a-8160-4d07c97a9d87,wow,wow 😘😘😘,4,CBE,POSITIVE,0.5618,2025-11-02
