bank_name,theme,count,percentage
CBE,general_feedback,402,80.4
CBE,transaction_problems,37,7.3999999999999995
CBE,app_updates,28,5.6000000000000005
CBE,customer_support,20,4.0
CBE,ui_ux_feedback,16,3.2
CBE,security_concerns,12,2.4
CBE,login_issues,7,1.4000000000000001
CBE,performance_issues,7,1.4000000000000001
CBE,feature_requests,5,1.0
BOA,general_feedback,391,78.2
BOA,performance_issues,39,7.8
BOA,app_updates,29,5.800000000000001
BOA,transaction_problems,28,5.6000000000000005
BOA,customer_support,22,4.3999999999999995
BOA,ui_ux_feedback,15,3.0
BOA,login_issues,11,2.1999999999999997
BOA,security_concerns,7,1.4000000000000001
BOA,feature_requests,2,0.4
DASHEN,general_feedback,345,69.0
DASHEN,ui_ux_feedback,60,12.0
DASHEN,transaction_problems,51,10.2
DASHEN,customer_support,30,6.0
DASHEN,security_concerns,25,5.0
DASHEN,performance_issues,23,4.6
DASHEN,app_updates,23,4.6
DASHEN,login_issues,5,1.0
DASHEN,feature_requests,2,0.4
